Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14)
1.1487794526725716e-09,0.11224539280063822,0.0,0.0,0.0,0.0,0.9999998145775145,3.644629293930783e-07,3.0865682789439367e-09,7.982288106814398e-11,2.949407678542397e-09,6.454121671491471e-11,9.321007639441433e-11,9.155141028440448e-21,2.4307352473261597e-21
1.3251763393877426e-09,0.11224539599592595,0.0,0.0,0.0,0.0,0.9999997860750782,4.2041263477784144e-07,3.5793038655818777e-09,1.0621644316141244e-10,3.3976416959042772e-09,8.619249126703939e-11,1.2391535454724692e-10,1.5895400525278446e-20,4.14502636853898e-21
1.4734477856387868e-09,0.11224539868202293,0.0,0.0,0.0,0.0,0.9999997621109268,4.6743857641081943e-07,3.9972499395845615e-09,1.3131244825069513e-10,3.7735437412751675e-09,1.068788967885226e-10,1.5307577185103787e-10,2.389858548668966e-20,6.177413288629243e-21
1.621719231889831e-09,0.11224540136837695,0.0,0.0,0.0,0.0,0.9999997381410648,5.144618563194557e-07,4.4186164274141674e-09,1.5906689007168696e-10,4.148683621653824e-09,1.2985710490256943e-10,1.8529006279470696e-10,3.4496268822255934e-20,8.874835948423556e-21
1.7699906781408751e-09,0.11224540405499017,0.0,0.0,0.0,0.0,0.9999997141654989,5.614824744287414e-07,4.843378464546428e-09,1.8947962620586228e-10,4.523086042328331e-09,1.5514572904072312e-10,2.2055212711355556e-10,4.8158241956179835e-20,1.2370145676691373e-20
1.9182621243919195e-09,0.11224540674186449,0.0,0.0,0.0,0.0,0.9999996901842346,6.085004306637415e-07,5.271511565483031e-09,2.2255051421382373e-10,4.896775329581806e-09,1.8276322935580762e-10,2.5885609029010897e-10,6.538463262143099e-20,1.6810270799071778e-20
2.0665335706429636e-09,0.11224540942900209,0.0,0.0,0.0,0.0,0.9999996661972782,6.555157249495778e-07,5.7029915626399e-09,2.5827941163634463e-10,5.269775491795823e-09,2.1272793769950587e-10,3.0019626742360307e-10,8.669833043010058e-20,2.2354406379844078e-20
2.214805016894008e-09,0.11224541211640494,0.0,0.0,0.0,0.0,0.9999996422046357,7.025283572114276e-07,6.1377946011761904e-09,2.9666617599284224e-10,5.642110224617332e-09,2.4505805989330075e-10,3.445671603327131e-10,1.1264297409104417e-19,2.9174179059286084e-20
2.511347909396096e-09,0.11224541749201444,0.0,0.0,0.0,0.0,0.9999995942023133,7.965456353641357e-07,7.0172758725557275e-09,3.8141273549093424e-10,6.384876695176806e-09,3.168867685475846e-10,4.423799897433559e-10,1.8069509025772153e-19,4.7387952288396066e-20
2.8078908018981845e-09,0.11224542286870906,0.0,0.0,0.0,0.0,0.99999954617731,8.905522645243678e-07,7.909770701825398e-09,4.76789052481328e-10,7.125258145668062e-09,3.983925174080594e-10,5.522542696299565e-10,2.742757576850027e-19,7.307766255766142e-20
3.1044336944002728e-09,0.11224542824650442,0.0,0.0,0.0,0.0,0.9999994981296652,9.845482440955016e-07,8.815099363570026e-09,5.82793986457943e-10,7.863433028235558e-09,4.897164705885205e-10,6.741526455873057e-10,3.9840054227569973e-19,1.0808119651226536e-19
3.400976586902361e-09,0.11224543362541609,0.0,0.0,0.0,0.0,0.9999994500594153,1.0785335734817663e-06,9.733086966026886e-09,6.994263966651933e-10,8.599574961461537e-09,5.909978418080572e-10,8.080406465481438e-10,5.583304819049921e-19,1.5445285950063503e-19
3.6975194794044494e-09,0.11224543900545941,0.0,0.0,0.0,0.0,0.9999994019665941,1.172508252088208e-06,1.0663563296717979e-08,8.266851421265016e-10,9.333852884703391e-09,7.023739565485086e-10,9.538865925737932e-10,7.595415784441156e-19,2.1446631834135513e-19
3.994062371906538e-09,0.11224544438664942,0.0,0.0,0.0,0.0,0.9999993538512327,1.2664722793206593e-06,1.1606362680923031e-08,9.645690816708144e-10,1.0066431199592771e-08,8.239803090127352e-10,1.111661510286086e-09,1.0077024685431285e-18,2.90617481162444e-19
4.587148156910714e-09,0.11224545515252918,0.0,0.0,0.0,0.0,0.9999992575530007,1.4543683772907154e-06,1.352828993662759e-08,1.272207977495032e-09,1.1527124585227637e-08,1.0984168137507139e-09,1.4628955031252736e-09,1.668427032676746e-18,5.024483066352883e-19
5.120925363414473e-09,0.11224546484589015,0.0,0.0,0.0,0.0,0.9999991708077625,1.6234384318192697e-06,1.5298596029007507e-08,1.5854096961601154e-09,1.2837496480677012e-08,1.3817205273228245e-09,1.8195654570589353e-09,2.483929107577505e-18,7.779966940094325e-19
5.654702569918232e-09,0.11224547454319271,0.0,0.0,0.0,0.0,0.999999083989861,1.792473966688974e-06,1.7106447309814015e-08,1.9330192898571e-09,1.414472334985774e-08,1.7001986707765944e-09,2.2145510111059365e-09,3.547005719764378e-18,1.1551673687113722e-18
6.188479776421991e-09,0.11224548424451794,0.0,0.0,0.0,0.0,0.9999989970993879,1.9614749784599345e-06,1.8951026519019035e-08,2.315030099399323e-09,1.544961502618212e-08,2.0545813045452852e-09,2.6477720086455905e-09,4.896005366492694e-18,1.657003909223582e-18
6.72225698292575e-09,0.11224549394994562,0.0,0.0,0.0,0.0,0.9999989101364123,2.1304414636987036e-06,2.0831555258255827e-08,2.731435465366966e-09,1.6752942479945543e-08,2.445582789204049e-09,3.119171455709935e-09,6.5705040851244474e-18,2.309152788592522e-18
7.256034189429509e-09,0.11224550365955355,0.0,0.0,0.0,0.0,0.9999988231009814,2.2993734189779066e-06,2.2747292093999487e-08,3.182228728474213e-09,1.8055439714776137e-08,2.8739025476581654e-09,3.6287143863538283e-09,8.61121353615775e-18,3.139923694350993e-18
7.960064425016053e-09,0.11224551647264984,0.0,0.0,0.0,0.0,0.9999987081940541,2.5221349243987717e-06,2.5326723994375414e-08,3.829384894423141e-09,1.977328823125311e-08,3.4970672358013904e-09,4.35909268892726e-09,1.1933701973127022e-17,4.561723837717546e-18
8.664094660602598e-09,0.112245529293322,0.0,0.0,0.0,0.0,0.9999985931611298,2.7448363458910744e-06,2.7964648745334548e-08,4.53633720035264e-09,2.1492419477765866e-08,4.187879733693741e-09,5.155825793007165e-09,1.6064620146038543e-17,6.427187027344896e-18
9.368124896189143e-09,0.11224554212173675,0.0,0.0,0.0,0.0,0.9999984780021595,2.9674776756330893e-06,3.0659629401329235e-08,5.303070373280916e-09,2.3214253331273537e-08,4.947838011690633e-09,6.018990894418893e-09,2.110544923173777e-17,8.823610508473223e-18
9.999999999999999e-09,0.1122455549580568,0.0,0.0,0.0,0.0,0.9999983745382663,3.167249612979702e-06,3.3125879018799545e-08,6.042114056264106e-09,2.4763016179604714e-08,5.689991111771144e-09,6.8503655469848746e-09,2.6490167522967692e-17,1.150546765118766e-17
1.0072155131775687e-08,0.1122455549580568,0.0,0.0,0.0,0.0,0.9999983627170403,3.190058905817145e-06,3.341031822300001e-08,6.129569144904027e-09,2.494012045273925e-08,5.778403937106083e-09,6.948718294715703e-09,2.7160475386334038e-17,1.1847183015634547e-17
1.0776185367362232e-08,0.11224556780244091,0.0,0.0,0.0,0.0,0.9999982473056199,3.412580028648568e-06,3.6215450999967255e-08,7.015818252633859e-09,2.6671267963292213e-08,6.681005554822229e-09,7.945188004584339e-09,3.433668853274119e-17,1.5603214995625496e-17
1.1480215602948777e-08,0.11224558065504465,0.0,0.0,0.0,0.0,0.9999981317676994,3.635041036344824e-06,3.907384201278398e-08,7.96180244044725e-09,2.8408864481415744e-08,7.657039111035089e-09,9.008626729548812e-09,4.274368577074607e-17,2.0206363172948452e-17
1.2184245838535321e-08,0.11224559351601979,0.0,0.0,0.0,0.0,0.999998016103036,3.857441921134575e-06,4.1984378900594535e-08,8.967506459811527e-09,3.015400525435248e-08,8.707871114997605e-09,1.0139304799377742e-08,5.249358738281002e-17,2.5780857654724108e-17
1.2888276074121866e-08,0.11224560638551541,0.0,0.0,0.0,0.0,0.9999979003113464,4.079782675257019e-06,4.494601836254933e-08,1.0032915070337946e-08,3.1907716456024777e-08,9.83484006557972e-09,1.133753359606507e-08,6.370096253802459e-17,3.246072135246897e-17
1.359230630970841e-08,0.11224561926367711,0.0,0.0,0.0,0.0,0.999997784392308,4.302063290961004e-06,4.795778143892016e-08,1.115801304065304e-08,3.3670959905036745e-08,1.1039258346920561e-08,1.2603662730603509e-08,7.648276729770057e-17,4.0389996044298475e-17
1.4296336545294955e-08,0.11224563215064823,0.0,0.0,0.0,0.0,0.9999976683455633,4.524283760504511e-06,5.101874978028377e-08,1.2342785148910608e-08,3.544463679496614e-08,1.2322413726840979e-08,1.393807781058722e-08,9.095828706450718e-17,4.97229581913583e-17
