Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75)
8.238862952724065e-09,0.11224537202089124,0.0,0.0,0.0,0.0,0.32999999503197003,0.6699999952177951,4.931024892904662e-09,4.745095881282403e-09,3.66669820450742e-11,2.2275205775063784e-10,1.160713622581562e-19,3.6864062081787367e-13,3.382761423452197e-13,7.625063457706209e-15,1.1067645790699299e-17,3.315376676012581e-14,6.831126542808429e-14,8.694011754462253e-19,7.238030821380283e-20,1.6565961186298608e-22
8.553018673146104e-09,0.11224537202077949,0.0,0.0,0.0,0.0,0.3299999948425307,0.6699999950273362,5.118973160747136e-09,4.934055178853058e-09,3.8130603860799566e-11,2.2321719726945117e-10,1.207045389669744e-19,3.983933331474851e-13,3.657613752913832e-13,8.566672176467425e-15,1.2382084886873048e-17,3.577934444539001e-14,7.370630991200497e-14,9.742799745869787e-19,8.433382929658512e-20,2.0069313532203456e-22
8.867174393568143e-09,0.11224537202066254,0.0,0.0,0.0,0.0,0.32999999465309104,0.66999999483683,5.306920658151327e-09,5.123060385126581e-09,3.9594219712193106e-11,2.2363610329482234e-10,1.2533769679536728e-19,4.2929183600750034e-13,3.9432225073337883e-13,9.582754985254028e-15,1.3796677921683815e-17,3.8504332137133336e-14,7.930393562967773e-14,1.0870530870640426e-18,9.769318611428847e-20,2.4138586656728895e-22
9.181330113990182e-09,0.11224537202054131,0.0,0.0,0.0,0.0,0.329999994463651,0.6699999946462847,5.494867388276118e-09,5.3121035645910125e-09,4.1057829530581005e-11,2.2401671126705403e-10,1.2997083552594226e-19,4.613347711379113e-13,4.2395876397236345e-13,1.0676124056452476e-14,1.5315101705861097e-17,4.132852038790571e-14,8.510358998551035e-14,1.207974342620829e-18,1.1256109455176582e-19,2.88388927341182e-22
9.495485834412222e-09,0.11224537202041658,0.0,0.0,0.0,0.0,0.3299999942742108,0.6699999944557065,5.682813354196053e-09,5.501178143315252e-09,4.2521433319452525e-11,2.2436559505798574e-10,1.3460395516974527e-19,4.945207757330699e-13,4.5467091026471604e-13,1.1849588221120797e-14,1.6941033006563794e-17,4.425169620317115e-14,9.110471366464345e-14,1.337294396494421e-18,1.2904339707092868e-19,3.423999289891924e-22
9.80964155483426e-09,0.11224537202028886,0.0,0.0,0.0,0.0,0.3299999940847701,0.6699999942651012,5.870758558909769e-09,5.690278675143571e-09,4.3985031147431757e-11,2.2468820077435675e-10,1.392370559440105e-19,5.288484831090964e-13,4.864586848280386e-13,1.3105952958796759e-14,1.867814854765859e-17,4.727364374293793e-14,9.730674208835591e-14,1.4752607748959743e-18,1.4724901586370248e-19,4.0416434307106786e-22
9.999999999999999e-09,0.11224537202015876,0.0,0.0,0.0,0.0,0.32999999396998103,0.6699999941495948,5.984641065788118e-09,5.804872293727522e-09,4.4871875746498035e-11,2.2487283361040244e-10,1.4204441211798051e-19,5.502038111525069e-13,5.06243403099822e-13,1.3908749838769208e-14,1.9786380771216162e-17,4.9152717391561505e-14,1.0116228760536331e-13,1.563169939625422e-18,1.5916613403928432e-19,4.456958402702955e-22
1.01237972752563e-08,0.11224537202015876,0.0,0.0,0.0,0.0,0.32999999389532925,0.6699999940744726,6.058703005420334e-09,5.879400648743492e-09,4.544862306905917e-11,2.249890397081575e-10,1.4387013802138796e-19,5.643165233205378e-13,5.193220829094829e-13,1.4448020388634812e-14,2.0530125009987355e-17,5.039414490057073e-14,1.0370910661422552e-13,1.6221179198113629e-18,1.672899066819569e-19,4.744768504300408e-22
1.0437952995678339e-08,0.11224537202002664,0.0,0.0,0.0,0.0,0.329999993705888,0.6699999938838253,6.246646696765906e-09,6.068540327540171e-09,4.6912209095066664e-11,2.2527184840080258e-10,1.4850320143585084e-19,6.009235236430002e-13,5.532610998113574e-13,1.5878589261887283e-14,2.2500639031578937e-17,5.361297978273626e-14,1.1031123553082872e-13,1.7781072331738986e-18,1.8928101333316807e-19,5.541826690595648e-22
1.0752108716100378e-08,0.11224537201989283,0.0,0.0,0.0,0.0,0.32999999351644643,0.6699999936931617,6.434589635987302e-09,6.25769461662308e-09,4.837578922565836e-11,2.2553972173521983e-10,1.5313624618804562e-19,6.386681089264457e-13,5.882757308623514e-13,1.7400454955549863e-14,2.4593367207840452e-17,5.69299271082627e-14,1.1711255488393558e-13,1.9434671204233712e-18,2.133402228318152e-19,6.441788610850598e-22
