Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34)
1.4112004195024673e-09,0.11224537201359551,0.0,0.0,0.0,0.0,0.32999999914905853,0.6699999992701761,8.460416250110067e-10,7.249213225763046e-10,4.893337808722124e-12,1.2601567299928348e-10,1.5490114961659184e-20,7.513354045933614e-15,6.629573101553014e-15,2.400591205167715e-17,5.5863576675317e-20,8.85540317106349e-16,1.8325800618705185e-15,2.8110185043169257e-21
1.513885792182321e-09,0.11224537201418039,0.0,0.0,0.0,0.0,0.32999999908714,0.6699999992134668,9.074895711934413e-10,7.811595403354496e-10,5.36270374861054e-12,1.3169528405046129e-10,1.6975918987637422e-20,8.880792757074366e-15,7.861381360484827e-15,3.057753114321798e-17,6.894715551268219e-20,1.0224500401036077e-15,2.115768350951686e-15,3.5964372332147295e-21
1.6165711648621746e-09,0.11224537201472737,0.0,0.0,0.0,0.0,0.3299999990252215,0.66999999915642,9.689352075734933e-10,8.377330392651706e-10,5.834289063538293e-12,1.3703958224286258e-10,1.8468748595190027e-20,1.0371089817001594e-14,9.206205047435574e-15,3.829611907796417e-17,8.392810413697488e-20,1.1695614265855e-15,2.4200284637766746e-15,4.5216939769124375e-21
1.7192565375420283e-09,0.11224537201523872,0.0,0.0,0.0,0.0,0.32999999896330284,0.6699999990990559,1.0303790800088719e-09,8.946217940977125e-10,6.307547653946846e-12,1.4206859266150533e-10,1.9966875069285154e-20,1.198472597461587e-14,1.0664515390604518e-14,4.7260477389269755e-17,1.009348262831184e-19,1.3269260867344631e-15,2.7454630431581428e-15,5.5990798522041535e-21
1.821941910221882e-09,0.11224537201571672,0.0,0.0,0.0,0.0,0.32999999890138426,0.6699999990413941,1.0918216040107349e-09,9.518069706685348e-10,6.7820638724974625e-12,1.4680114929906993e-10,2.146898265020246e-20,1.372206573077886e-14,1.2236671007880818e-14,5.756973807445878e-17,1.200957287806703e-19,1.4945920564262624e-15,3.0921673098326337e-15,6.840929857253172e-21
2.0273126555815895e-09,0.11224537201658033,0.0,0.0,0.0,0.0,0.32999999877754693,0.669999998925248,1.2147037456321202e-09,1.066996849257713e-09,7.733730150164341e-12,1.5544664036194178e-10,2.4481535412241246e-20,1.7568845226987216e-14,1.5723500595571826e-14,8.262081461375245e-17,1.653937271631766e-19,1.8610032742768294e-15,3.84973091823903e-15,9.867538584723535e-21
2.2121463264053262e-09,0.11224537201726231,0.0,0.0,0.0,0.0,0.3299999986660933,0.669999998819867,1.3252954186930797e-09,1.171514694104144e-09,8.592173711818552e-12,1.6238051709402724e-10,2.719898648203777e-20,2.1456038960971496e-14,1.9253031027297942e-14,1.1076539113025469e-16,2.1481748267276214e-19,2.226419329322508e-15,4.605097853673411e-15,1.3278308932914139e-20
2.396979997229063e-09,0.11224537201786394,0.0,0.0,0.0,0.0,0.32999999855463963,0.6699999987137696,1.4358857489888507e-09,1.27674767010661e-09,9.451666397200869e-12,1.685991566136115e-10,2.9919758623872163e-20,2.574659170044899e-14,2.3154029109284165e-14,1.4481772317963714e-16,2.732179283375108e-19,2.625815775613318e-15,5.430562750961038e-15,1.7414934812358906e-20
2.5818136680527997e-09,0.11224537201839362,0.0,0.0,0.0,0.0,0.3299999984431858,0.6699999986070307,1.5464751708480278e-09,1.382620726584478e-09,1.0311774594004695e-11,1.7417760891671082e-10,3.2642479208702185e-20,3.044080921981119e-14,2.7426868095383897e-14,1.853607975406007e-16,3.413440411138272e-19,3.0593684028382736e-15,6.326464299714535e-15,2.2350023687252506e-20
2.7666473388765364e-09,0.11224537201885888,0.0,0.0,0.0,0.0,0.32999999833173194,0.6699999984997183,1.6570638660605138e-09,1.4890667563553255e-09,1.1172317398719468e-11,1.7918298057365292e-10,3.536657557425671e-20,3.5538756388948257e-14,3.20717030960905e-14,2.329781171810165e-16,4.199448010195242e-19,3.527229188226953e-15,7.293091774488473e-15,2.815626782852126e-20
